SUBJECT,LV,HZ,DA
1,0,10,26.87007
2,0,10,21.96338
3,0,10,2.8435
4,0,10,27.13599
5,0,10,35.37173
1,0.4,10,21.96338
2,0.4,10,17.99103
3,0.4,10,2.590486
4,0.4,10,26.59491
5,0.4,10,32.13047
1,1,10,36.42031
2,1,10,25.79342
3,1,10,4.975175
4,1,10,18.22019
5,1,10,55.00824
1,1.26,10,43.56535
2,1.26,10,31.89327
3,1.26,10,4.337951
4,1.26,10,46.06752
5,1.26,10,66.49679
1,0,20,99.98436
2,0,20,99.78041
3,0,20,97.61155
4,0,20,99.57362
5,0,20,99.53812
1,0.4,20,125.5492
2,0.4,20,171.9582
3,0.4,20,129.5768
4,0.4,20,97.89531
5,0.4,20,125.8894
1,1,20,212.9189
2,1,20,381.9884
3,1,20,47.99152
4,1,20,114.0229
5,1,20,216.701
1,1.26,20,337.2875
2,1.26,20,125.9203
3,1.26,20,63.03523
4,1.26,20,81.0288
5,1.26,20,101.6091
