10 Hz ,,,,,,,,,,,,,,,,,,0.958205932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 LV,Current (nA),,,,,Concentration (nM),,,,,Normalized to 20 Hz 0 LV (0.26266),,,,,Normalized to 10 Hz 0 LV (0.958206),,,,,,0.39 LV,Current (nA),,,,,Concentration (nM),,,,,Normalized to 20 Hz 0 LV (0.26266),,,,,Normalized to 10 Hz 0 LV (0.958206),,,,,,1.00 LV,Current (nA),,,,,Concentration (nM),,,,,Normalized to 20 Hz 0 LV (0.26266),,,,,Normalized to 10 Hz 0 LV (0.958206),,,,,,1.28 LV,Current (nA),,,,,Concentration (nM),,,,,Normalized to 20 Hz 0 LV (0.26266),,,,,Normalized to 10 Hz 0 LV (0.958206),,,,
Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,,Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,,Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,,Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,-1.23E-01,3.74E-01,-3.30E-01,-8.31E-02,1.41E-01,-6.13E+00,1.87E+01,-1.65E+01,-4.15E+00,7.05E+00,-1.611098655,4.907187476,-4.330111636,-1.091023844,1.851524486,-5.877424799,17.90183691,-15.79661521,-3.980147693,6.754518661,,0.00E+00,8.20E-02,-2.01E-01,8.64E-02,-2.58E-01,-2.19E-01,4.10E+00,-1.00E+01,4.32E+00,-1.29E+01,-1.09E+01,1.077103914,-2.637904886,1.13450458,-3.384039209,-2.869614345,3.929366608,-9.623301186,4.138769115,-12.3452626,-10.46859698,,0.00E+00,6.36E-01,-2.13E-01,-4.79E-01,-2.58E-02,1.59E-01,3.18E+01,-1.07E+01,-2.39E+01,-1.29E+00,7.97E+00,8.352342413,-2.798206284,-6.28716897,-0.339368408,2.094540144,30.47005488,-10.20809431,-22.93612667,-1.238044792,7.641060434,,0.00E+00,-5.46E-01,4.02E-01,8.50E-01,-6.63E-01,-6.13E-02,-2.73E+01,2.01E+01,4.25E+01,-3.31E+01,-3.07E+00,-7.175682085,5.282524676,11.1688955,-8.704255594,-0.805282202,-26.17749801,19.27109891,40.74507987,-31.75386407,-2.937737904
0.2,-1.10E-01,1.80E-02,-2.72E-01,2.23E-01,-3.23E-01,-5.52E+00,9.00E-01,-1.36E+01,1.12E+01,-1.61E+01,-1.448891659,0.236264377,-3.568198014,2.935004866,-4.236271098,-5.285679892,0.861912525,-13.01708957,10.70714716,-15.45427695,,2.00E-01,2.55E-01,-1.12E-01,7.08E-02,2.53E-01,-4.23E-01,1.28E+01,-5.61E+00,3.54E+00,1.26E+01,-2.11E+01,3.351313086,-1.472676835,0.929733662,3.318150948,-5.551290207,12.22587492,-5.372450237,3.391747405,12.10489662,-20.25157841,,2.00E-01,2.47E-01,-3.08E-01,1.84E-01,4.40E-02,3.27E-01,1.23E+01,-1.54E+01,9.21E+00,2.20E+00,1.63E+01,3.242395864,-4.04051454,2.418673091,0.578101002,4.293075263,11.82853564,-14.74014039,8.823524966,2.108961579,15.66150337,,2.00E-01,-5.49E-03,-1.31E-01,-3.10E-02,-2.68E-01,6.54E-02,-2.74E-01,-6.55E+00,-1.55E+00,-1.34E+01,3.27E+00,-0.072071041,-1.719128086,-0.407152681,-3.520368942,0.859035703,-0.262921282,-6.271525344,-1.485327577,-12.84260505,3.133835241
0.4,-8.71E-01,-9.39E-01,-5.31E-01,-9.11E-01,2.51E-01,-4.36E+01,-4.70E+01,-2.66E+01,-4.56E+01,1.25E+01,-11.43929609,-12.33229806,-6.976692182,-11.9656247,3.29481492,-41.73152421,-44.98927129,-25.45156594,-43.65161572,12.01976481,,4.00E-01,-3.66E-02,8.43E-02,5.33E-01,-9.22E-01,-3.82E-01,-1.83E+00,4.22E+00,2.67E+01,-4.61E+01,-1.91E+01,-0.480726505,1.107198446,7.002088778,-12.1145805,-5.014652188,-1.753731139,4.039154019,25.54421488,-44.19501913,-18.29387731,,4.00E-01,-3.05E-02,-7.50E-03,-2.71E-01,-3.20E-02,2.62E-01,-1.53E+00,-3.75E-01,-1.36E+01,-1.60E+00,1.31E+01,-0.400585524,-0.098468174,-3.564279127,-0.420773572,3.44401368,-1.461370032,-0.359220266,-13.00279314,-1.535017745,12.56405456,,4.00E-01,-5.13E-01,-3.93E-01,-4.02E-01,4.14E-02,2.85E-01,-2.57E+01,-1.96E+01,-2.01E+01,2.07E+00,1.43E+01,-6.743049546,-5.156732862,-5.276189317,0.543193094,3.747718245,-24.59921774,-18.81219968,-19.24798698,1.981614565,13.67199462
0.6,1.95E-01,2.92E-01,-2.58E-01,2.39E-01,-2.63E-01,9.75E+00,1.46E+01,-1.29E+01,1.20E+01,-1.32E+01,2.561305351,3.839766128,-3.390432353,3.142736093,-3.458537464,9.34385957,14.00779313,-12.36858533,11.46496833,-12.61703857,,6.00E-01,-1.09E-01,1.87E-01,1.65E-01,2.82E-01,-2.96E-01,-5.47E+00,9.34E+00,8.27E+00,1.41E+01,-1.48E+01,-1.435526204,2.454534061,2.172904755,3.698088638,-3.889073977,-5.23692158,8.954348831,7.926941194,13.4909416,-14.18767235,,6.00E-01,3.92E-01,-1.81E-01,-7.87E-02,4.37E-01,-2.11E-01,1.96E+01,-9.05E+00,-3.94E+00,2.19E+01,-1.05E+01,5.149778938,-2.377656105,-1.033627249,5.743138385,-2.770687396,18.78683118,-8.673891517,-3.770760039,20.95145686,-10.10770307,,6.00E-01,-4.55E-02,2.60E-01,-6.00E-01,-3.06E-01,-5.64E-01,-2.28E+00,1.30E+01,-3.00E+01,-1.53E+01,-2.82E+01,-0.597929205,3.409624919,-7.879581992,-4.021669998,-7.412664443,-2.18129655,12.43860144,-28.74538469,-14.6713939,-27.04202979
0.8,-2.24E-01,-3.31E-01,1.14E-01,-4.95E-02,-3.12E-01,-1.12E+01,-1.65E+01,5.68E+00,-2.47E+00,-1.56E+01,-2.939466146,-4.342467162,1.491865461,-0.649999449,-4.097020585,-10.72342229,-15.84168922,5.442451976,-2.371253224,-14.94627925,,8.00E-01,-3.46E-02,-4.67E-03,-3.55E-01,-2.87E-01,-4.87E-01,-1.73E+00,-2.33E-01,-1.78E+01,-1.43E+01,-2.43E+01,-0.454418348,-0.061276542,-4.665860721,-3.769109275,-6.390308985,-1.657756747,-0.223542034,-17.0214564,-13.75003092,-23.31239021,,8.00E-01,9.77E-02,4.07E-03,-1.06E-01,7.62E-02,2.56E-01,4.89E+00,2.04E-01,-5.30E+00,3.81E+00,1.28E+01,1.283123912,0.053508859,-1.393396854,1.001258607,3.360267165,4.680945066,0.195204864,-5.083230129,3.652676481,12.25854016,,8.00E-01,2.47E-01,1.66E-01,-1.70E-01,-3.32E-01,-4.77E-01,1.24E+01,8.32E+00,-8.49E+00,-1.66E+01,-2.38E+01,3.248258435,2.184757288,-2.228956399,-4.361076623,-6.25971706,11.8499228,7.97018024,-8.131422355,-15.90957811,-22.83597977
1,4.31E-01,7.90E-01,6.34E-01,9.60E-02,5.48E-02,2.15E+01,3.95E+01,3.17E+01,4.80E+00,2.74E+00,5.655639772,10.37826132,8.320580252,1.261224503,0.719659245,20.63225449,37.8607792,30.35418382,4.601054162,2.625378079,,1.00E+00,-1.03E-01,2.32E-01,7.27E-01,1.21E-01,3.65E-01,-5.15E+00,1.16E+01,3.63E+01,6.04E+00,1.83E+01,-1.351904454,3.044820385,9.545570021,1.587599778,4.79444855,-4.931862327,11.1077635,34.82305059,5.791698899,17.49055573,,1.00E+00,-2.86E-01,-8.78E-02,8.83E-02,3.43E-02,3.07E-01,-1.43E+01,-4.39E+00,4.42E+00,1.72E+00,1.53E+01,-3.756819414,-1.152838642,1.160099352,0.450851162,4.028968006,-13.70519646,-4.205653331,4.232141019,1.644743351,14.69801765,,1.00E+00,-3.17E-01,4.05E-01,1.18E-01,-2.65E-01,2.76E-01,-1.59E+01,2.02E+01,5.91E+00,-1.32E+01,1.38E+01,-4.169690728,5.312691177,1.552191897,-3.478015017,3.620033965,-15.2113861,19.38114887,5.662527939,-12.68809433,13.20619152
1.2,-1.93E-01,8.37E-02,1.25E-01,6.77E-02,-1.66E-01,-9.64E+00,4.18E+00,6.26E+00,3.38E+00,-8.28E+00,-2.531651037,1.099156191,1.644292312,0.888965416,-2.175147872,-9.235678113,4.009815188,5.998518082,3.243021377,-7.935124273,,1.20E+00,5.10E-01,-2.41E-01,8.77E-02,2.64E-01,-8.34E-02,2.55E+01,-1.21E+01,4.38E+00,1.32E+01,-4.17E+00,6.692462543,-3.165904018,1.151593896,3.472931232,-1.094689133,24.41467206,-11.54948689,4.201112393,12.66954825,-3.993518979,,1.20E+00,1.70E-01,-3.32E-02,1.10E-01,-4.25E-01,2.00E-02,8.50E+00,-1.66E+00,5.51E+00,-2.13E+01,9.98E-01,2.233742065,-0.436550901,1.44855414,-5.583703765,0.262171452,8.148880868,-1.592574784,5.284448598,-20.36982582,0.956423737,,1.20E+00,2.20E-01,-1.63E-01,1.58E-01,1.71E-01,-1.11E-01,1.10E+01,-8.13E+00,7.90E+00,8.53E+00,-5.53E+00,2.894993868,-2.134434259,2.074885297,2.240861464,-1.453117858,10.56118364,-7.786597552,7.569357879,8.174853041,-5.301097427
1.4,-1.75E-01,-1.56E-01,1.72E-01,-8.94E-01,2.52E-01,-8.75E+00,-7.81E+00,8.62E+00,-4.47E+01,1.26E+01,-2.298382691,-2.051471784,2.26387836,-11.74278921,3.306153952,-8.384695364,-7.483943396,8.258820633,-42.83869291,12.06113056,,1.40E+00,3.47E-01,6.22E-02,3.42E-01,2.98E-01,4.23E-01,1.74E+01,3.11E+00,1.71E+01,1.49E+01,2.12E+01,4.561181518,0.817291017,4.487938777,3.916653277,5.557552022,16.63957777,2.981547082,16.37238203,14.28828398,20.27442204,,1.40E+00,-3.39E-02,-1.30E-01,-2.47E-01,1.76E-01,-1.51E-01,-1.70E+00,-6.51E+00,-1.23E+01,8.78E+00,-7.55E+00,-0.445576818,-1.710885815,-3.242239581,2.305181645,-1.982558993,-1.625502096,-6.24145684,-11.82796551,8.409498527,-7.232543679,,1.40E+00,-1.18E-01,-3.36E-01,-8.61E-02,2.23E-01,9.68E-02,-5.90E+00,-1.68E+01,-4.31E+00,1.12E+01,4.84E+00,-1.549126654,-4.415359252,-1.131022759,2.934072423,1.270652946,-5.651345675,-16.10760576,-4.126067136,10.70374553,4.635449925
1.6,1.51E-01,-1.95E-01,8.53E-02,-3.72E-01,1.53E-01,7.56E+00,-9.76E+00,4.26E+00,-1.86E+01,7.65E+00,1.986904703,-2.563555034,1.119723914,-4.887612739,2.008299673,7.248397197,-9.352066605,4.084847988,-17.83042661,7.326447867,,1.60E+00,-6.46E-01,-9.34E-02,3.77E-01,-3.28E-02,-1.56E-01,-3.23E+01,-4.67E+00,1.88E+01,-1.64E+00,-7.79E+00,-8.483585735,-1.225983936,4.945070927,-0.430675066,-2.045627599,-30.94884167,-4.472493579,18.04003896,-1.571139237,-7.462623313,,1.60E+00,-1.63E-01,7.07E-02,-8.42E-02,3.80E-02,-1.10E-01,-8.14E+00,3.54E+00,-4.21E+00,1.90E+00,-5.49E+00,-2.138518622,0.928562199,-1.10628439,0.498816687,-1.4425169,-7.801497656,3.387473806,-4.035819462,1.819725661,-5.262424233,,1.60E+00,8.96E-02,-1.28E-01,3.75E-02,8.07E-02,9.50E-02,4.48E+00,-6.38E+00,1.88E+00,4.04E+00,4.75E+00,1.177128651,-1.675768173,0.492886875,1.060344893,1.248191314,4.294265347,-6.113344698,1.798093202,3.868228274,4.55350798
1.8,-2.71E-01,2.20E-01,-2.38E-01,5.69E-02,3.54E-01,-1.35E+01,1.10E+01,-1.19E+01,2.84E+00,1.77E+01,-3.557838704,2.882999499,-3.122135669,0.74703367,4.646501366,-12.97929793,10.51742716,-11.38981623,2.725242308,16.95083183,,1.80E+00,-1.99E-01,-1.90E-01,-3.16E-01,-1.85E-01,2.45E-01,-9.96E+00,-9.52E+00,-1.58E+01,-9.27E+00,1.22E+01,-2.615963583,-2.500582299,-4.153791918,-2.434015061,3.21533663,-9.543257448,-9.122336716,-15.15338589,-8.879493779,11.72982126,,1.80E+00,-4.43E-03,1.60E-01,7.95E-02,1.87E-01,-6.31E-02,-2.21E-01,7.98E+00,3.98E+00,9.34E+00,-3.16E+00,-0.058179072,2.096734669,1.044617732,2.452625836,-0.82873971,-0.212242198,7.649066245,3.810854253,8.947387465,-3.023312886,,1.80E+00,-2.38E-01,-8.32E-02,1.11E-01,4.36E-01,2.76E-01,-1.19E+01,-4.16E+00,5.55E+00,2.18E+01,1.38E+01,-3.131850149,-1.092213299,1.458455109,5.727251395,3.626834233,-11.42525548,-3.984486929,5.320568173,20.89349977,13.23099948
