10 Hz,Current (nA),,,,,,,,,,,,,,,,,1.032284065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV 0.00,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,,LV 0.39,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,,LV 1.00,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,,LV 1.28,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,
Time,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,
0,4.21E-02,6.87E-02,1.65E-02,-2.42E-01,-8.77E-02,2.11E+00,3.43E+00,8.25E-01,-1.21E+01,-4.38E+00,1.32E-01,2.15E-01,5.16E-02,-7.56E-01,-2.74E-01,2.173081178,3.545832055,0.851826305,-12.48751374,-4.52609307,,1.52E-01,-6.87E-03,1.98E-01,1.08E-01,-1.42E-02,7.62E+00,-3.43E-01,9.88E+00,5.38E+00,-7.10E-01,4.76E-01,-2.15E-02,6.17E-01,3.36E-01,-4.44E-02,7.866391187,-0.354409575,10.19458904,5.55637702,-0.7325015,,2.34E-02,-3.97E-02,-2.70E-01,-2.88E-02,1.04E-01,1.17E+00,-1.98E+00,-1.35E+01,-1.44E+00,5.20E+00,7.31E-02,-1.24E-01,-8.44E-01,-9.00E-02,3.25E-01,1.207173039,-2.048917542,-13.94585748,-1.487011296,5.370209762,,-2.09E-02,-1.41E-01,1.57E-01,7.43E-02,2.29E-01,-1.04E+00,-7.06E+00,7.86E+00,3.71E+00,1.14E+01,-6.53E-02,-4.41E-01,4.91E-01,2.32E-01,7.14E-01,-1.077868629,-7.287666969,8.114614197,3.832393061,11.79585249,
0.2,4.95E-02,2.68E-02,-2.68E-01,-1.65E-01,1.80E-03,2.48E+00,1.34E+00,-1.34E+01,-8.27E+00,8.98E-02,1.55E-01,8.37E-02,-8.37E-01,-5.17E-01,5.62E-03,2.556392486,1.382371247,-13.82740805,-8.536642865,0.092747311,,-1.93E-01,-1.47E-01,3.42E-01,7.70E-02,-1.15E-02,-9.66E+00,-7.37E+00,1.71E+01,3.85E+00,-5.75E-01,-6.04E-01,-4.60E-01,1.07E+00,2.41E-01,-3.59E-02,-9.968983368,-7.603158767,17.65324353,3.976449841,-0.593427039,,6.20E-02,-1.87E-01,-1.21E-01,-1.42E-01,1.09E-02,3.10E+00,-9.33E+00,-6.05E+00,-7.12E+00,5.47E-01,1.94E-01,-5.83E-01,-3.78E-01,-4.45E-01,3.42E-02,3.200695641,-9.626941226,-6.243398152,-7.353815728,0.56479819,,-9.16E-02,9.00E-02,2.60E-01,-2.91E-01,2.99E-01,-4.58E+00,4.50E+00,1.30E+01,-1.45E+01,1.49E+01,-2.86E-01,2.81E-01,8.13E-01,-9.09E-01,9.34E-01,-4.727304319,4.647411215,13.43128971,-15.01821474,15.42454753,
0.4,6.95E-03,-1.35E-01,-1.64E-01,1.09E-01,5.96E-01,3.47E-01,-6.75E+00,-8.19E+00,5.45E+00,2.98E+01,2.17E-02,-4.22E-01,-5.12E-01,3.41E-01,1.86E+00,0.358466348,-6.967509248,-8.452728499,5.628507864,30.76369421,,2.73E-02,5.21E-02,1.04E-01,-4.62E-02,-4.15E-05,1.36E+00,2.60E+00,5.22E+00,-2.31E+00,-2.08E-03,8.52E-02,1.63E-01,3.26E-01,-1.44E-01,-1.30E-04,1.407011866,2.687108544,5.386318554,-2.384591008,-0.002144127,,-7.23E-02,-2.49E-01,3.73E-01,-4.93E-01,2.24E-01,-3.62E+00,-1.25E+01,1.86E+01,-2.46E+01,1.12E+01,-2.26E-01,-7.80E-01,1.17E+00,-1.54E+00,6.99E-01,-3.734102075,-12.87418668,19.24837005,-25.441305,11.53583564,,4.29E-01,2.27E-01,9.97E-02,2.80E-01,1.09E-01,2.15E+01,1.13E+01,4.99E+00,1.40E+01,5.46E+00,1.34E+00,7.09E-01,3.12E-01,8.75E-01,3.41E-01,22.14973327,11.70578571,5.147880047,14.45356572,5.636766136,
0.6,-7.37E-03,-2.04E-01,1.20E-01,9.41E-02,4.54E-02,-3.68E-01,-1.02E+01,6.00E+00,4.70E+00,2.27E+00,-2.30E-02,-6.37E-01,3.75E-01,2.94E-01,1.42E-01,-0.380138738,-10.51638293,6.192367192,4.854401706,2.343195387,,5.09E-02,-4.92E-01,-3.25E-01,-1.49E-01,-8.07E-02,2.54E+00,-2.46E+01,-1.63E+01,-7.45E+00,-4.04E+00,1.59E-01,-1.54E+00,-1.02E+00,-4.66E-01,-2.52E-01,2.626544958,-25.3751356,-16.77994159,-7.693086187,-4.166272933,,2.26E-01,-7.02E-02,-8.60E-02,2.90E-01,6.69E-02,1.13E+01,-3.51E+00,-4.30E+00,1.45E+01,3.35E+00,7.08E-01,-2.19E-01,-2.69E-01,9.07E-01,2.09E-01,11.68984725,-3.624773909,-4.440002649,14.98170802,3.455256876,,-4.96E-02,3.84E-01,3.00E-01,-1.31E-01,1.66E-01,-2.48E+00,1.92E+01,1.50E+01,-6.55E+00,8.31E+00,-1.55E-01,1.20E+00,9.37E-01,-4.09E-01,5.20E-01,-2.560929374,19.82563359,15.47317843,-6.76153246,8.582078845,
0.8,-3.64E-02,2.31E-01,1.89E-01,7.62E-02,-7.83E-03,-1.82E+00,1.15E+01,9.45E+00,3.81E+00,-3.92E-01,-1.14E-01,7.21E-01,5.90E-01,2.38E-01,-2.45E-02,-1.879765421,11.91485935,9.751527582,3.935400036,-0.404340894,,-1.59E-01,1.30E-01,-1.16E-01,-4.92E-01,3.60E-01,-7.93E+00,6.52E+00,-5.80E+00,-2.46E+01,1.80E+01,-4.96E-01,4.07E-01,-3.63E-01,-1.54E+00,1.12E+00,-8.183230115,6.727776773,-5.988124641,-25.40521635,18.56222636,,-8.49E-02,2.48E-01,-4.56E-02,-1.18E-01,-8.94E-02,-4.25E+00,1.24E+01,-2.28E+00,-5.88E+00,-4.47E+00,-2.65E-01,7.77E-01,-1.42E-01,-3.68E-01,-2.80E-01,-4.382062097,12.82509125,-2.352183484,-6.074439068,-4.616042169,,4.91E-02,5.21E-01,3.45E-01,2.14E-01,-3.36E-01,2.45E+00,2.60E+01,1.72E+01,1.07E+01,-1.68E+01,1.53E-01,1.63E+00,1.08E+00,6.69E-01,-1.05E+00,2.532898734,26.87715011,17.79080569,11.0485821,-17.33672461,
1,-1.39E-01,5.09E-02,-4.60E-01,-3.12E-01,3.67E-01,-6.96E+00,2.54E+00,-2.30E+01,-1.56E+01,1.84E+01,-4.35E-01,1.59E-01,-1.44E+00,-9.74E-01,1.15E+00,-7.180288787,2.625020791,-23.73008782,-16.09207914,18.94824897,,3.02E-01,-2.09E-01,-1.06E-02,-3.50E-01,4.75E-01,1.51E+01,-1.04E+01,-5.29E-01,-1.75E+01,2.37E+01,9.44E-01,-6.52E-01,-3.31E-02,-1.09E+00,1.48E+00,15.59798673,-10.76170006,-0.546135012,-18.07891616,24.4981484,,-1.51E-01,2.61E-01,1.03E-01,3.85E-02,2.36E-01,-7.54E+00,1.31E+01,5.16E+00,1.93E+00,1.18E+01,-4.71E-01,8.17E-01,3.23E-01,1.20E-01,7.37E-01,-7.78629111,13.48663562,5.330017784,1.987505935,12.17702336,,1.35E-01,-1.95E-01,1.22E-02,2.96E-01,2.57E-01,6.75E+00,-9.73E+00,6.12E-01,1.48E+01,1.28E+01,4.22E-01,-6.08E-01,3.82E-02,9.24E-01,8.03E-01,6.972288723,-10.041491,0.63127728,15.26349058,13.26393067,
1.2,9.14E-02,-1.00E-01,2.42E-01,-4.05E-02,2.31E-01,4.57E+00,-5.01E+00,1.21E+01,-2.03E+00,1.15E+01,2.86E-01,-3.13E-01,7.57E-01,-1.27E-01,7.22E-01,4.716575791,-5.167701448,12.50764844,-2.092115015,11.91848267,,1.77E-01,-8.91E-02,-7.35E-02,-2.89E-01,1.45E-01,8.85E+00,-4.46E+00,-3.67E+00,-1.44E+01,7.27E+00,5.53E-01,-2.79E-01,-2.30E-01,-9.02E-01,4.54E-01,9.135315971,-4.600543457,-3.791720039,-14.90428156,7.500090371,,-1.18E-01,-3.46E-02,1.15E-01,-5.64E-02,-3.50E-01,-5.91E+00,-1.73E+00,5.73E+00,-2.82E+00,-1.75E+01,-3.69E-01,-1.08E-01,3.58E-01,-1.76E-01,-1.09E+00,-6.098635805,-1.786083584,5.914853123,-2.911615862,-18.08207495,,-3.94E-02,-3.88E-02,8.13E-02,2.93E-01,9.66E-02,-1.97E+00,-1.94E+00,4.07E+00,1.47E+01,4.83E+00,-1.23E-01,-1.21E-01,2.54E-01,9.17E-01,3.02E-01,-2.035155648,-2.004725464,4.197976955,15.1364732,4.985329382,
1.4,1.51E-01,-1.70E-01,-1.94E-01,-3.71E-01,1.35E-02,7.57E+00,-8.48E+00,-9.70E+00,-1.86E+01,6.76E-01,4.73E-01,-5.30E-01,-6.06E-01,-1.16E+00,4.23E-02,7.8141731,-8.756669038,-10.01204509,-19.15550579,0.698225026,,8.01E-02,1.18E-01,1.48E-01,-4.99E-02,-7.08E-02,4.01E+00,5.88E+00,7.38E+00,-2.50E+00,-3.54E+00,2.50E-01,3.68E-01,4.61E-01,-1.56E-01,-2.21E-01,4.135567129,6.071094468,7.613280311,-2.576700609,-3.652864421,,1.75E-02,1.79E-01,-1.40E-01,3.00E-01,1.35E-01,8.73E-01,8.95E+00,-6.99E+00,1.50E+01,6.75E+00,5.46E-02,5.59E-01,-4.37E-01,9.37E-01,4.22E-01,0.901123027,9.234982991,-7.218638138,15.48111153,6.963571084,,1.07E-01,3.19E-01,2.42E-01,-7.13E-02,8.98E-02,5.35E+00,1.60E+01,1.21E+01,-3.57E+00,4.49E+00,3.35E-01,9.98E-01,7.56E-01,-2.23E-01,2.81E-01,5.525676894,16.4892246,12.48199102,-3.680227173,4.635315427,
1.6,2.00E-01,-3.63E-02,9.44E-04,-2.69E-01,-2.78E-01,9.99E+00,-1.81E+00,4.72E-02,-1.35E+01,-1.39E+01,6.25E-01,-1.13E-01,2.95E-03,-8.41E-01,-8.68E-01,10.31384881,-1.873497393,0.048711015,-13.88548951,-14.32973293,,5.10E-01,1.31E-01,-2.68E-01,-1.25E-02,-4.25E-01,2.55E+01,6.56E+00,-1.34E+01,-6.24E-01,-2.13E+01,1.59E+00,4.10E-01,-8.38E-01,-3.90E-02,-1.33E+00,26.30120274,6.768139077,-13.83741088,-0.644384706,-21.94873725,,9.51E-02,3.30E-01,-1.72E-01,2.07E-01,9.99E-02,4.75E+00,1.65E+01,-8.60E+00,1.03E+01,4.99E+00,2.97E-01,1.03E+00,-5.37E-01,6.46E-01,3.12E-01,4.906589339,17.05485946,-8.876558502,10.66977001,5.155525658,,-2.80E-01,-6.55E-03,3.87E-02,1.61E-01,7.89E-02,-1.40E+01,-3.28E-01,1.94E+00,8.06E+00,3.94E+00,-8.76E-01,-2.05E-02,1.21E-01,5.04E-01,2.46E-01,-14.46866803,-0.338169064,1.997662577,8.319249016,4.070670015,
