20 Hz,Current (nA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV 0.00,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,,LV 0.38,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,,LV 1.01,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,,LV 1.24,,,,,Concentration (nM),,,,,Normalized to 20 Hz LV 0.00,,,,0.062506821,Normalized to 10 Hz 0 LV(1.032284),,,,,
Time,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,
0.00E+00,-6.23E-01,-2.79E-02,-4.48E-02,-1.82E-01,-3.63E-01,-3.11E+01,-1.40E+00,-2.24E+00,-9.09E+00,-1.82E+01,-1.95E+00,-8.73E-02,-1.40E-01,-5.68E-01,-1.14E+00,-32.14334694,-1.440982784,-2.312313063,-9.386176467,-18.74655616,,-7.33E-02,1.15E-01,7.27E-02,-2.16E-01,-4.74E-02,-3.67E+00,5.77E+00,3.64E+00,-1.08E+01,-2.37E+00,-2.29E-01,3.61E-01,2.27E-01,-6.75E-01,-1.48E-01,-3.784778445,5.95482316,3.753220491,-11.14131218,-2.447508718,,-2.04E-01,2.84E-02,1.05E-01,-6.36E-02,2.19E-01,-1.02E+01,1.42E+00,5.23E+00,-3.18E+00,1.09E+01,-6.36E-01,8.87E-02,3.27E-01,-1.99E-01,6.84E-01,-10.50818143,1.46487603,5.394963932,-3.281690708,11.29244888,,-2.26E-02,-1.64E-02,-2.95E-01,-9.22E-02,-1.45E-01,-1.13E+00,-8.18E-01,-1.48E+01,-4.61E+00,-7.23E+00,-7.05E-02,-5.12E-02,-9.23E-01,-2.88E-01,-4.52E-01,-1.164893783,-0.844840839,-15.23788994,-4.756803899,-7.467480519,
2.00E-01,2.15E-01,2.67E-01,-5.03E-01,-3.46E-01,-7.27E-03,1.07E+01,1.34E+01,-2.51E+01,-1.73E+01,-3.63E-01,6.72E-01,8.35E-01,-1.57E+00,-1.08E+00,-2.27E-02,11.0922632,13.78193078,-25.96096193,-17.88124409,-0.375220524,,-1.59E-01,-4.65E-02,1.34E-01,5.24E-02,2.52E-02,-7.95E+00,-2.33E+00,6.71E+00,2.62E+00,1.26E+00,-4.97E-01,-1.45E-01,4.20E-01,1.64E-01,7.86E-02,-8.202559633,-2.402637397,6.928158582,2.704505626,1.298846052,,-1.37E-01,-9.90E-02,-3.24E-02,-2.40E-01,-1.04E-02,-6.87E+00,-4.95E+00,-1.62E+00,-1.20E+01,-5.21E-01,-4.30E-01,-3.09E-01,-1.01E-01,-7.50E-01,-3.26E-02,-7.093685321,-5.109486308,-1.67063449,-12.39090744,-0.537699703,,8.34E-02,-1.67E-01,-1.07E-01,-3.52E-02,-2.68E-01,4.17E+00,-8.33E+00,-5.33E+00,-1.76E+00,-1.34E+01,2.61E-01,-5.21E-01,-3.33E-01,-1.10E-01,-8.37E-01,4.305192552,-8.599462508,-5.506331892,-1.819016024,-13.81724005,
4.00E-01,-1.19E-01,-3.06E-02,-2.52E-01,1.34E-01,-2.55E-01,-5.93E+00,-1.53E+00,-1.26E+01,6.72E+00,-1.27E+01,-3.71E-01,-9.56E-02,-7.88E-01,4.20E-01,-7.97E-01,-6.120349899,-1.578238878,-13.01718382,6.936210397,-13.15649055,,-8.28E-02,-9.95E-02,-3.13E-02,1.96E-01,1.68E-01,-4.14E+00,-4.98E+00,-1.57E+00,9.80E+00,8.42E+00,-2.59E-01,-3.11E-01,-9.79E-02,6.13E-01,5.26E-01,-4.276023819,-5.137266103,-1.616585132,10.11925811,8.691005453,,5.93E-02,-8.19E-03,1.83E-01,8.67E-03,4.81E-02,2.96E+00,-4.09E-01,9.14E+00,4.34E-01,2.40E+00,1.85E-01,-2.56E-02,5.71E-01,2.71E-02,1.50E-01,3.05902705,-0.42259534,9.430771136,0.447514727,2.480959365,,-8.15E-02,7.10E-03,5.05E-01,-1.71E-01,-1.85E-02,-4.08E+00,3.55E-01,2.52E+01,-8.56E+00,-9.25E-01,-2.55E-01,2.22E-02,1.58E+00,-5.35E-01,-5.78E-02,-4.207871398,0.366668464,26.06466002,-8.837961403,-0.955038188,
6.00E-01,-1.37E-01,2.98E-01,1.87E-01,-3.37E-02,-1.25E-01,-6.84E+00,1.49E+01,9.36E+00,-1.68E+00,-6.24E+00,-4.28E-01,9.30E-01,5.85E-01,-1.05E-01,-3.90E-01,-7.064172322,15.36056657,9.667189979,-1.738194381,-6.444853536,,8.66E-03,-1.17E-03,1.04E-01,2.76E-01,3.20E-01,4.33E-01,-5.87E-02,5.19E+00,1.38E+01,1.60E+01,2.71E-02,-3.67E-03,3.24E-01,8.63E-01,9.99E-01,0.446883176,-0.060587019,5.352970619,14.25076836,16.50349593,,-2.18E-01,9.82E-02,-7.20E-03,-2.70E-01,1.50E-01,-1.09E+01,4.91E+00,-3.60E-01,-1.35E+01,7.52E+00,-6.80E-01,3.07E-01,-2.25E-02,-8.44E-01,4.70E-01,-11.23629263,5.070637848,-0.371383008,-13.94448454,7.762244054,,2.27E-01,-1.27E-01,2.49E-01,-3.88E-01,-1.79E-01,1.13E+01,-6.35E+00,1.24E+01,-1.94E+01,-8.97E+00,7.09E-01,-3.97E-01,7.77E-01,-1.21E+00,-5.60E-01,11.71557693,-6.557284748,12.83931097,-20.0169984,-9.256444175,
8.00E-01,1.08E-02,2.26E-01,-2.11E-01,-2.12E-01,-1.68E-01,5.42E-01,1.13E+01,-1.05E+01,-1.06E+01,-8.40E+00,3.39E-02,7.06E-01,-6.58E-01,-6.64E-01,-5.25E-01,0.559479347,11.66052006,-10.8732848,-10.96728974,-8.666148054,,1.05E-01,7.27E-02,-1.01E-02,-8.27E-02,1.25E-01,5.25E+00,3.63E+00,-5.07E-01,-4.13E+00,6.27E+00,3.28E-01,2.27E-01,-3.17E-02,-2.58E-01,3.92E-01,5.418081932,3.752008073,-0.522947332,-4.268341046,6.468523808,,2.04E-01,5.58E-02,-2.86E-01,1.59E-02,-3.56E-01,1.02E+01,2.79E+00,-1.43E+01,7.97E-01,-1.78E+01,6.39E-01,1.74E-01,-8.93E-01,4.98E-02,-1.11E+00,10.55463937,2.880796507,-14.7481228,0.823112809,-18.38390963,,1.82E-01,-2.25E-01,2.49E-01,-5.22E-02,-1.29E-01,9.12E+00,-1.12E+01,1.24E+01,-2.61E+00,-6.46E+00,5.70E-01,-7.02E-01,7.78E-01,-1.63E-01,-4.03E-01,9.410517724,-11.5976488,12.84310461,-2.692519261,-6.663455157,
1.00E+00,-2.41E-02,-5.20E-01,-2.89E-01,-1.70E-01,-1.05E-01,-1.21E+00,-2.60E+01,-1.44E+01,-8.52E+00,-5.24E+00,-7.55E-02,-1.62E+00,-9.03E-01,-5.33E-01,-3.28E-01,-1.246331184,-26.83571939,-14.90955137,-8.798543639,-5.413679241,,-2.06E-01,-4.02E-01,-1.30E-01,3.30E-01,-3.33E-02,-1.03E+01,-2.01E+01,-6.48E+00,1.65E+01,-1.66E+00,-6.45E-01,-1.26E+00,-4.05E-01,1.03E+00,-1.04E-01,-10.65093599,-20.76195647,-6.6917449,17.03191179,-1.716743519,,-1.89E-01,9.03E-02,-2.66E-01,-1.83E-01,-3.83E-01,-9.44E+00,4.51E+00,-1.33E+01,-9.16E+00,-1.91E+01,-5.90E-01,2.82E-01,-8.32E-01,-5.73E-01,-1.20E+00,-9.746624233,4.660379283,-13.73504444,-9.454967873,-19.76448625,,-1.03E-01,-3.33E-02,1.44E-01,-4.10E-02,-1.26E-01,-5.13E+00,-1.67E+00,7.22E+00,-2.05E+00,-6.28E+00,-3.21E-01,-1.04E-01,4.52E-01,-1.28E-01,-3.93E-01,-5.294218175,-1.718937123,7.45679638,-2.114812875,-6.485799081,
1.20E+00,-1.25E-01,-1.18E-01,-1.91E-01,4.94E-02,3.13E-02,-6.24E+00,-5.91E+00,-9.56E+00,2.47E+00,1.56E+00,-3.90E-01,-3.70E-01,-5.98E-01,1.54E-01,9.77E-02,-6.438923064,-6.102321059,-9.869925395,2.548998752,1.613518216,,1.26E-01,1.86E-03,-4.89E-01,-2.35E-02,4.07E-03,6.28E+00,9.31E-02,-2.45E+01,-1.18E+00,2.03E-01,3.93E-01,5.82E-03,-1.53E+00,-7.36E-02,1.27E-02,6.485463588,0.096132531,-25.24775691,-1.215090657,0.210015341,,1.97E-01,-5.08E-02,3.21E-02,-8.26E-02,-7.92E-02,9.85E+00,-2.54E+00,1.61E+00,-4.13E+00,-3.96E+00,6.16E-01,-1.59E-01,1.00E-01,-2.58E-01,-2.48E-01,10.16619606,-2.623625143,1.658224372,-4.261471712,-4.089773979,,-4.08E-01,5.77E-02,4.25E-01,-3.10E-01,1.37E-01,-2.04E+01,2.88E+00,2.13E+01,-1.55E+01,6.86E+00,-1.27E+00,1.80E-01,1.33E+00,-9.69E-01,4.29E-01,-21.04024475,2.976687949,21.94013833,-16.00215688,7.082774079,
1.40E+00,3.56E-01,-1.14E-01,-2.79E-01,1.19E-01,1.30E-01,1.78E+01,-5.68E+00,-1.40E+01,5.93E+00,6.51E+00,1.11E+00,-3.55E-01,-8.73E-01,3.70E-01,4.07E-01,18.39174466,-5.86340925,-14.41546928,6.117934354,6.721361128,,-3.85E-02,-4.15E-01,-2.11E-01,6.61E-02,1.02E-01,-1.93E+00,-2.07E+01,-1.06E+01,3.31E+00,5.10E+00,-1.20E-01,-1.30E+00,-6.60E-01,2.07E-01,3.19E-01,-1.987515742,-21.40217385,-10.90023773,3.413107172,5.263136104,,9.79E-02,-3.73E-01,-4.21E-02,1.30E-01,-8.22E-02,4.90E+00,-1.86E+01,-2.11E+00,6.51E+00,-4.11E+00,3.06E-01,-1.16E+00,-1.32E-01,4.07E-01,-2.57E-01,5.054554347,-19.23793882,-2.173361443,6.715306782,-4.245180206,,-1.24E-01,-1.94E-02,-3.90E-01,-3.81E-01,2.04E-01,-6.18E+00,-9.69E-01,-1.95E+01,-1.90E+01,1.02E+01,-3.86E-01,-6.06E-02,-1.22E+00,-1.19E+00,6.38E-01,-6.377228611,-1.000694045,-20.14445967,-19.66142301,10.53816928,
1.60E+00,-7.00E-02,-5.68E-02,1.96E-03,-5.48E-02,9.06E-02,-3.50E+00,-2.84E+00,9.79E-02,-2.74E+00,4.53E+00,-2.19E-01,-1.78E-01,6.12E-03,-1.71E-01,2.83E-01,-3.615169539,-2.934037587,0.101061842,-2.829385151,4.677697911,,1.43E-01,-2.44E-01,1.69E-01,6.42E-02,-1.75E-01,7.13E+00,-1.22E+01,8.45E+00,3.21E+00,-8.77E+00,4.46E-01,-7.64E-01,5.28E-01,2.00E-01,-5.48E-01,7.361191397,-12.61612084,8.725772778,3.311140223,-9.052568085,,1.58E-01,9.61E-02,5.00E-02,-2.73E-01,1.96E-02,7.88E+00,4.81E+00,2.50E+00,-1.37E+01,9.81E-01,4.93E-01,3.00E-01,1.56E-01,-8.54E-01,6.13E-02,8.135677952,4.962369838,2.579924432,-14.09772194,1.01263499,,4.31E-02,-9.26E-02,1.24E-01,-3.49E-02,-2.46E-01,2.15E+00,-4.63E+00,6.18E+00,-1.75E+00,-1.23E+01,1.35E-01,-2.89E-01,3.86E-01,-1.09E-01,-7.68E-01,2.222058408,-4.777595131,6.374580802,-1.802561933,-12.68194959,
